,Year,January: Total,February: Total,March: Total,May: Total,June: Total,July: Total,August: Total,September: Total,October: Total,November: Total,December: Total,January- February (winter): Total,March-may (pre-monsoon): Total,June- September (monsoon): Total,October- December (post-monsoon): Total,January - December (Whole Year): Total
115,2006,1,0,0,0,0,1,4,4,1,0,0,1,1,9,1,12
116,2007,0,0,0,2,4,1,1,1,2,1,0,0,2,7,3,12
117,2008,0,0,0,0,2,0,1,1,2,2,1,0,1,4,5,10
118,2009,0,0,0,1,2,1,0,1,0,1,1,0,2,4,2,8
119,2010,0,0,0,3,0,0,0,0,3,1,1,0,3,0,5,8
120,2011,0,1,0,0,2,1,0,1,2,2,1,1,0,4,5,10
121,2012,0,0,0,0,0,0,0,0,3,1,1,0,0,0,5,5
122,2013,0,0,0,2,0,1,1,1,1,4,1,0,2,2,6,10
123,2014,1,0,0,1,1,1,1,1,2,1,0,1,1,3,3,8
124,2015,0,0,0,0,3,3,1,2,2,2,0,0,0,8,4,12
125,2016,0,0,0,1,1,1,2,0,1,2,2,0,1,4,5,10
